"number" "dsum" "count" "missing" "quant_error" "fname"
132 13.0 13 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_yellow_montane_violet.tif"
133 35.0 35 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_yellowbreasted_chat.tif"
134 55076.0 55076 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\conservation_lands.tif"
135 1.16449e+07 5100374 8635546 2.30995e-06 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\grizzly_cons_2021.tif"
136 35238.0 35238 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\KBA.tif"
137 944343. 720344 7759831 0.207357 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\OGE_TAP.tif"
138 117158. 117158 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\OGMA.tif"
139 1.1975e+07 5478562 7759840 0.180444 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\psr_terrestrial.tif"
140 2.09739e+06 2097390 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\SEAR.tif"
141 1.75392e+06 1753920 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\UWR.tif"
142 285454. 285454 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\WHA.tif"
143 188588. 188588 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Protections\other_protections.tif"
144 942076. 942076 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Protections\protected_areas.tif"
145 49104.0 49104 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Protections\section11.tif"
146 3.15805e+08 5925391 7810529 0.00143122 "E:\Github\BC Hydro Project\Zonation\400m\Data\HumanFootprint\human_footprint_400m_v2.tif"
