"","BC Hydro Names","Project Type","Region","Latitude","Longitude","Installed Capacity (MW)","Dependable Generating Capacity (MW)","Effective Load-Carrying Capacity (MW)","Annual Firm Energy (GWh/yr)","UEC ($/MWh)","UCC ($/kW-yr)","R1 Length (km)","T1 Length (km)","Linear Features (km)","Line Voltage","Plateau or Ridgeline - WIND","Number of Turbines - WIND","Footprint of Plant (ha) - SOLAR","Footprint of Panels (ha) - SOLAR","ATG (ha)","Raw Terrestrial Score","Terrestrial % of Summed Score","Raw Freshwater Score","Freshwater % of Summed Score","Summed Raw Scores","Terrestrial Proportion of Scaled Score","Freshwater Proportion of Scaled Score","Scaled Summed Score","Notes"
"121","SI28","Onshore Wind","Kelly Nicola",49.71721821,-120.9452865,87,"NA","21.599999999999998","282.40487999999999","95.046143232935094","NA",0.882842773438,69.087421875,69.970264648438,130,"R","NA","NA","NA",11.45,1579,0.387579774177712,2495,0.612420225822288,4074,0.067034201742894,0.10592168039805,0.172955882140944,NA
"122","Solar36063","Solar","Central Interior",53.94552672,-123.0634147,343.539692308,"NA","NA","542.83013040303354","102.5152621749335","NA",0.6,34.5,35.1,230,"NA","NA","443.07","177.22800000000001",443.07,2227,0.526975863700899,1999,0.473024136299101,4226,0.0945558471607523,0.0848752305677341,0.179431077728486,NA
"123","SI33","Onshore Wind","Selkirk",49.58799207,-119.3495849,48,"NA","12","120.1434","114.20171138822596","NA",0.524264038086,57.9587890625,58.483053100586,69,"P","10","NA","NA",6.36172512351933,2867.7056,0.678006054028761,1361.91091,0.321993945971239,4229.61651,0.12175981277737,0.0578253281721311,0.179585140949502,NA
"124","PC10","Onshore Wind","Peace River",56.4503433,-122.6254839,297,"NA","70.8","1239.1238999999998","55.402836873971559","NA",1.7,82.7,84.4,230,"R","NA","NA","NA",37.53,2551,0.60150907804763,1690,0.39849092195237,4241,0.108313786176506,0.0717562911165406,0.180070077293047,NA
"125","Elaho_River-8hr","Small Storage Hydro","Lower Mainland",50.11,-123.4,63.9,"40","9","325.89999999999998","85.147334930927542","NA",0,43.7558441227167,43.7558441227167,130,"NA","NA","NA","NA",43.76,1720,0.39206747207659,2667,0.60793252792341,4387,0.0730381211885562,0.113251551866209,0.186289673054765,NA
"126","PC09","Onshore Wind","Peace River",56.57614415,-122.7750882,207,"NA","49.199999999999996","849.41339999999991","65.79728571598406","NA",3.58700610352,101.3241796875,104.91118579102,230,"R","NA","NA","NA",26.08,2800,0.633197648123021,1622,0.366802351876979,4422,0.11890227989789,0.068878392140849,0.187780672038739,NA
"127","PC12","Onshore Wind","Peace River",54.5320784,-120.0978831,96,"NA","22.8","344.44758000000002","80.359901262891157","NA",14.8,97.7,112.5,230,"R","NA","NA","NA",12.09,2640,0.58968058968059,1837,0.41031941031941,4477,0.112112238098551,0.078011432343575,0.190123670442126,NA
"128","SI03","Onshore Wind","Kelly Nicola",51.02296982,-121.1465226,150,"NA","36.479999999999997","392.26579199999998","86.678770695404879","NA",0.1,43,43.1,130,"P","30","NA","NA",19.085175370558,2575.4146,0.562510620456574,2003.0138,0.437489379543426,4578.4284,0.109377106092025,0.0850674112457036,0.194444517337728,NA
"129","PC08","Onshore Wind","Peace River",56.74759287,-122.8784138,39,"NA","9.6","140.82575999999997","121.98573541611616","NA",11.612484375,101.4219453125,113.0344296875,130,"R","NA","NA","NA",88.3905,3083,0.670217391304348,1517,0.329782608695652,4600,0.130935993122803,0.0644274737487162,0.195363466871519,NA
"130","Upper Clore - Storage for 16 hrs of generation","Pumped Storage","North Coast",54.1838127504,-127.974894927,1000,"NA","1000","NA","NA","182.65150565656566",3.07279220614006,55.3264068711941,58.3991990773342,500,"NA","NA","NA","NA",55.33,2612,0.558716577540107,2063,0.441283422459893,4675,0.110937905835629,0.0876205588586913,0.19855846469432,NA
"131","SI31","Onshore Wind","Kelly Nicola",49.23297204,-120.2964695,144,"NA","34.799999999999997","372.04158000000001","100.9320839148305","NA",9.30832617188,90.772703125,100.08102929688,130,"P","29","NA","NA",18.4490028582061,3661.53873,0.778630212366162,1041,0.221369787633838,4702.53873,0.155517068863793,0.0442145449290957,0.199731613792889,NA
"132","SI02","Onshore Wind","Kelly Nicola",50.93034714,-121.1762619,69,"NA","16.8","169.12056000000001","109.20568239922603","NA",0.1,35.42863671875,35.52863671875,130,"P","14","NA","NA",8.90641517292706,2307.6092,0.490061302907769,2401.20822,0.509938697092231,4708.81742,0.0980118125697762,0.101987273234847,0.199999085804623,NA
"133","SI13","Onshore Wind","Revelstoke",50.01830566,-118.7967703,162,"NA","56.4","618.81515999999988","85.512634441569176","NA",1,66.8,67.8,230,"P","47","NA","NA",29.9001080805409,2350.9241,0.498390439464605,2366.1088,0.501609560535395,4717.0329,0.0998520585587165,0.100497006455417,0.200349065014133,NA
"134","BC22","Onshore Wind","North Coast",54.611,-126.136,260,"NA","62.4","765.95687999999996","74.242169125861622","NA",3.52132080078,98.31534375,101.83666455078,230,"P","113","NA","NA",71.8874938957684,2041.1247,0.429062100642948,2716.0531,0.570937899357052,4757.1778,0.0866959605050812,0.115363276083673,0.202059236588754,NA
"135","SI15","Onshore Wind","Kelly Nicola",50.09076254,-119.7530118,303,"NA","73.2","902.53403999999989","75.242059453167954","NA",0,79.9,79.9,230,"P","61","NA","NA",38.8065232534679,2712.6031,0.54409707598602,2272.91,0.45590292401398,4985.5131,0.115232314039974,0.0965539997003605,0.211786313740334,NA
"136","Kinskuch_River-8hr","Small Storage Hydro","North Coast",55.71,-129.34,40.1,"40","3","132.80000000000001","116.36779578392621","NA",9.2,33.3,42.5,130,"NA","NA","NA","NA",49.02,2759,0.53666601828438,2382,0.46333398171562,5141,0.117213252512896,0.101196798653758,0.218410051166655,NA
"137","SI01","Onshore Wind","Kelly Nicola",51.00597779,-120.4973311,171,"NA","58.8","613.38396","86.696270973203369","NA",0.3,43.9,44.2,230,"P","49","NA","NA",31.1724531052447,2480.6155,0.47475644865027,2744.412,0.52524355134973,5225.0275,0.105391003736379,0.116598616491014,0.221989620227393,NA
"138","PC24","Onshore Wind","Central Interior",55.4817089,-123.9167898,117,"NA","28.799999999999997","308.42207999999999","106.96629348122117","NA",1.92426416016,60.26467578125,62.18893994141,130,"R","NA","NA","NA",186.777,3048,0.581901489117984,2190,0.418098510882016,5238,0.129497665707001,0.0930445826438096,0.22254224835081,NA
